date,baseline_total_original_seconds,baseline_total_remaining_seconds,spent_seconds,cumulative_spent_seconds,delta_remaining_manual_seconds,cumulative_delta_remaining_manual_seconds,remaining_seconds
2025-12-31,604800,212400,18000,18000,147600,147600,342000
2026-01-01,604800,212400,0,18000,0,147600,342000
2026-01-02,604800,212400,0,18000,0,147600,342000
2026-01-03,604800,212400,0,18000,0,147600,342000
2026-01-04,604800,212400,0,18000,0,147600,342000
2026-01-05,604800,212400,46800,64800,7200,154800,302400
2026-01-06,604800,212400,34200,99000,-34200,120600,234000
2026-01-07,604800,212400,0,99000,0,120600,234000
2026-01-08,604800,212400,0,99000,0,120600,234000
2026-01-09,604800,212400,0,99000,0,120600,234000
2026-01-10,604800,212400,0,99000,0,120600,234000
2026-01-11,604800,212400,0,99000,0,120600,234000
2026-01-12,604800,212400,0,99000,0,120600,234000
2026-01-13,604800,212400,0,99000,0,120600,234000
