date,issue,from,to,delta
2025-11-18,MXD-71,0,28800,28800
2025-11-18,MXD-73,0,28800,28800
2025-11-18,MXD-74,0,28800,28800
2025-11-18,MXD-75,0,28800,28800
2025-11-28,MXD-71,28800,0,-28800
2025-11-28,MXD-73,28800,0,-28800
2025-11-28,MXD-74,28800,0,-28800
2025-11-28,MXD-75,28800,0,-28800
2025-12-02,MXD-71,0,28800,28800
2025-12-02,MXD-73,0,28800,28800
2025-12-02,MXD-74,0,28800,28800
2025-12-02,MXD-75,0,28800,28800
2025-12-05,MXD-71,28800,14400,-14400
2025-12-05,MXD-73,28800,14400,-14400
2025-12-08,MXD-71,14400,0,-14400
2025-12-08,MXD-71,0,0,0
2025-12-09,MXD-112,0,43200,43200
2025-12-09,MXD-112,43200,0,-43200
2025-12-09,MXD-112,0,14400,14400
2025-12-09,MXD-73,14400,0,-14400
2025-12-09,MXD-73,0,0,0
2025-12-10,MXD-112,14400,0,-14400
2025-12-10,MXD-112,0,0,0
2025-12-10,MXD-113,0,28800,28800
2025-12-10,MXD-113,28800,0,-28800
2025-12-10,MXD-113,0,0,0
2025-12-10,MXD-113,0,0,0
2025-12-12,MXD-74,28800,0,-28800
2025-12-15,MXD-75,28800,0,-28800
2025-12-16,MXD-117,0,57600,57600
2025-12-16,MXD-118,0,172800,172800
2025-12-16,MXD-118,172800,158400,-14400
2025-12-16,MXD-118,158400,28800,-129600
2025-12-16,MXD-119,0,28800,28800
2025-12-16,MXD-12,0,57600,57600
2025-12-16,MXD-12,57600,86400,28800
2025-12-16,MXD-12,86400,0,-86400
2025-12-16,MXD-120,0,28800,28800
2025-12-16,MXD-121,0,28800,28800
2025-12-16,MXD-122,0,28800,28800
2025-12-16,MXD-123,0,28800,28800
2025-12-16,MXD-124,0,28800,28800
2025-12-16,MXD-125,0,28800,28800
2025-12-16,MXD-126,0,28800,28800
2025-12-16,MXD-127,0,28800,28800
2025-12-16,MXD-128,0,28800,28800
2025-12-16,MXD-129,0,28800,28800
2025-12-16,MXD-130,0,28800,28800
2025-12-16,MXD-131,0,28800,28800
2025-12-16,MXD-18,0,86400,86400
2025-12-16,MXD-18,86400,0,-86400
2025-12-16,MXD-37,0,28800,28800
2025-12-16,MXD-37,28800,57600,28800
2025-12-16,MXD-37,57600,0,-57600
2025-12-18,MXD-119,28800,0,-28800
2025-12-18,MXD-119,0,0,0
2025-12-18,MXD-132,0,28800,28800
2025-12-19,MXD-127,28800,14400,-14400
2025-12-19,MXD-130,28800,14400,-14400
2025-12-22,MXD-132,28800,0,-28800
2025-12-22,MXD-132,0,0,0
2025-12-22,MXD-133,0,28800,28800
2025-12-23,MXD-117,57600,28800,-28800
2025-12-23,MXD-117,28800,14400,-14400
2025-12-23,MXD-120,28800,0,-28800
2025-12-23,MXD-121,28800,0,-28800
2025-12-23,MXD-127,14400,7200,-7200
2025-12-23,MXD-130,14400,0,-14400
2025-12-23,MXD-132,0,0,0
2025-12-23,MXD-133,28800,10800,-18000
2025-12-23,MXD-134,0,0,0
2025-12-23,MXD-134,0,0,0
2025-12-23,MXD-135,0,14400,14400
2025-12-24,MXD-118,28800,14400,-14400
2025-12-24,MXD-122,28800,14400,-14400
2025-12-24,MXD-123,28800,14400,-14400
2025-12-24,MXD-124,28800,14400,-14400
2025-12-24,MXD-125,28800,14400,-14400
2025-12-24,MXD-126,28800,14400,-14400
2025-12-24,MXD-127,7200,7200,0
2025-12-24,MXD-135,14400,0,-14400
2025-12-25,MXD-117,14400,0,-14400
2025-12-25,MXD-120,0,28800,28800
2025-12-25,MXD-127,7200,7200,0
2025-12-25,MXD-128,28800,0,-28800
2025-12-25,MXD-129,28800,0,-28800
2025-12-25,MXD-131,28800,0,-28800
2025-12-25,MXD-133,10800,14400,3600
2025-12-26,MXD-120,28800,14400,-14400
2025-12-26,MXD-133,14400,28800,14400
2025-12-27,MXD-133,28800,7200,-21600
2025-12-29,MXD-118,14400,7200,-7200
2025-12-29,MXD-120,14400,0,-14400
2025-12-29,MXD-120,0,0,0
2025-12-29,MXD-122,14400,7200,-7200
2025-12-29,MXD-123,14400,7200,-7200
2025-12-30,MXD-124,14400,7200,-7200
2025-12-30,MXD-125,14400,7200,-7200
2025-12-31,MXD-118,7200,5400,-1800
2025-12-31,MXD-122,7200,5400,-1800
2025-12-31,MXD-123,7200,5400,-1800
2025-12-31,MXD-124,7200,5400,-1800
2025-12-31,MXD-125,7200,5400,-1800
2025-12-31,MXD-126,14400,7200,-7200
2025-12-31,MXD-126,7200,5400,-1800
2025-12-31,MXD-127,7200,57600,50400
2025-12-31,MXD-137,0,28800,28800
2025-12-31,MXD-138,0,57600,57600
2025-12-31,MXD-139,0,28800,28800
2026-01-05,MXD-117,0,18000,18000
2026-01-05,MXD-117,18000,0,-18000
2026-01-05,MXD-117,0,21600,21600
2026-01-05,MXD-117,21600,7200,-14400
2026-01-06,MXD-117,7200,5400,-1800
2026-01-06,MXD-118,5400,0,-5400
2026-01-06,MXD-121,0,28800,28800
2026-01-06,MXD-121,28800,0,-28800
2026-01-06,MXD-121,0,0,0
2026-01-06,MXD-122,5400,0,-5400
2026-01-06,MXD-123,5400,0,-5400
2026-01-06,MXD-124,5400,0,-5400
2026-01-06,MXD-125,5400,0,-5400
2026-01-06,MXD-126,5400,0,-5400
2026-01-06,MXD-74,0,0,0
